Build,OS,255.0,254.0,12.4,12.3,12.2,12.1,12.0,11.2,11.1,11.0,10.5,10.0,9.3,9.2,9.1,9.0,8.3,8.2,8.1,8.0,7.1,7.0,6.2,5.0
29560,Win 11 27H1 (Krypton/Insider),Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N
28000,Win 11 26H1,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N
26200,Win 11 25H2,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N
26100,Win 11 24H2 / Server 2025,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N
22621,Win 11 22H2 / 23H2,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N
22000,Win 11 21H2,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N
20348,Win Server 2022,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N
19045,Win 10 22H2 / LTSC 2021,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N
17763,Win Server 2019 / LTSC 2019,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y
14393,Win 10 1607 / Server 2016,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y
